timeStamp,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621600265633,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,302,utf-8,1,0,VDICOR1W14-23,0,38
1621600265935,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,429,utf-8,1,0,VDICOR1W14-23,0,0
1621600262940,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391676,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3483,utf-8,1,0,VDICOR1W14-23,0,0
1621600266377,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,265,utf-8,1,0,VDICOR1W14-23,0,37
1621600266562,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,9016,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,383,utf-8,1,0,VDICOR1W14-23,0,37
1621600266953,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,296,utf-8,1,0,VDICOR1W14-23,0,36
1621600267249,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,332,utf-8,1,0,VDICOR1W14-23,0,39
1621600267581,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,456,utf-8,1,0,VDICOR1W14-23,0,0
1621600265260,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,391677,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3298,utf-8,1,0,VDICOR1W14-23,0,36
1621600268662,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,278,utf-8,1,0,VDICOR1W14-23,0,40
