timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621630625981,6409,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,6294,utf-8,1,0,VDICOR1W14-23,0,56
1621630628922,3797,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3652,utf-8,1,0,VDICOR1W14-23,0,41
1621630632719,233,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,233,utf-8,1,0,VDICOR1W14-23,0,41
1621630632952,348,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,343,utf-8,1,0,VDICOR1W14-23,0,0
1621630627734,5610,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4414,utf-8,1,0,VDICOR1W14-23,0,0
1621630629401,3959,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-8,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3285,utf-8,1,0,VDICOR1W14-23,0,0
1621630629632,3835,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-5,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3709,utf-8,1,0,VDICOR1W14-23,0,35
1621630631012,2547,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,2547,utf-8,1,0,VDICOR1W14-23,0,43
1621630633361,293,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-8,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,293,utf-8,1,0,VDICOR1W14-23,0,42
1621630632390,1339,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,1339,utf-8,1,0,VDICOR1W14-23,0,1043
1621630630582,3192,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-7,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3053,utf-8,1,0,VDICOR1W14-23,0,0
1621630633300,502,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,502,utf-8,1,0,VDICOR1W14-23,0,45
1621630633344,545,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9016,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,540,utf-8,1,0,VDICOR1W14-23,0,39
1621630633559,367,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,362,utf-8,1,0,VDICOR1W14-23,0,0
1621630633467,582,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-5,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,582,utf-8,1,0,VDICOR1W14-23,0,38
1621630633729,326,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,325,utf-8,1,0,VDICOR1W14-23,0,67
1621630633775,377,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-7,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,377,utf-8,1,0,VDICOR1W14-23,0,57
1621630633889,289,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,288,utf-8,1,0,VDICOR1W14-23,0,39
1621630634055,309,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,309,utf-8,1,0,VDICOR1W14-23,0,35
1621630634049,410,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-5,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,404,utf-8,1,0,VDICOR1W14-23,0,0
